-- PRICES --
      | 2033369001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2033369001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2033372001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2033372001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2033375001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2033375001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 81236001    | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 81236001    | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 80387001    | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 80387001    | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 81423001    | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 81423001    | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 191957001   | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 191957001   | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 8513215001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 8513215001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 1950579001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 1950579001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2469676001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2469676001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 1847191001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 1847191001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 1847199001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 1847199001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 3076286001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 3076286001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2801292001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2801292001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2802616001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2802616001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2585322001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2585322001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2585542001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2585542001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2581373001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2581373001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2581392001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2581392001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2581397001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2581397001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2720953001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2720953001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2704171001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2704171001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2704644001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2704644001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2703366001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2703366001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739238001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739238001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739245001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739245001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739246001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739246001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739248001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739248001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739249001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739249001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 2739251001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 2739251001  | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 11489208001 | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 11489208001 | 0006   | eciStore | eciStore_MercanciaGeneral |
      | 3522867001  | 0090   | eciStore | eciStore_MercanciaGeneral |
      | 3522867001  | 0006   | eciStore | eciStore_MercanciaGeneral |
